;canción;álbum
125;Rastaman Chant - Live;The Capitol Session '73 (Live)
126;Duppy Conqueror - Live;The Capitol Session '73 (Live)
127;Slave Driver - Live;The Capitol Session '73 (Live)
128;Burnin' And Lootin' - Live;The Capitol Session '73 (Live)
129;Midnight Ravers - Live;The Capitol Session '73 (Live)
130;Put It On - Live;The Capitol Session '73 (Live)
131;Stop That Train - Live;The Capitol Session '73 (Live)
132;Kinky Reggae - Live;The Capitol Session '73 (Live)
133;Stir It Up - Live;The Capitol Session '73 (Live)
134;No More Trouble - Live;The Capitol Session '73 (Live)
135;Get Up Stand Up - Live;The Capitol Session '73 (Live)
136;Trenchtown Rock - Live At The Rainbow Theatre, London / 1977;Live At The Rainbow, 4th June 1977 (Remastered 2020)
137;Rebel Music (3 O’Clock Roadblock) - Live At The Rainbow Theatre, London / 1977;Live At The Rainbow, 4th June 1977 (Remastered 2020)
138;Burnin' And Lootin' - Live At The Rainbow Theatre, London / 1977;Live At The Rainbow, 4th June 1977 (Remastered 2020)
139;Them Belly Full (But We Hungry) - Live At The Rainbow Theatre, London / 1977;Live At The Rainbow, 4th June 1977 (Remastered 2020)
140;The Heathen - Live At The Rainbow Theatre, London / 1977;Live At The Rainbow, 4th June 1977 (Remastered 2020)
141;I Shot The Sheriff - Live At The Rainbow Theatre, London / 1977;Live At The Rainbow, 4th June 1977 (Remastered 2020)
142;War / No More Trouble - Live At The Rainbow Theatre, London / 1977;Live At The Rainbow, 4th June 1977 (Remastered 2020)
143;Crazy Baldhead / Running Away - Live At The Rainbow Theatre, London / 1977;Live At The Rainbow, 4th June 1977 (Remastered 2020)
144;No Woman, No Cry - Live At The Rainbow Theatre, London / 1977;Live At The Rainbow, 4th June 1977 (Remastered 2020)
145;Lively Up Yourself - Live At The Rainbow Theatre, London / 1977;Live At The Rainbow, 4th June 1977 (Remastered 2020)
146;Jammin' - Live At The Rainbow Theatre, London / 1977;Live At The Rainbow, 4th June 1977 (Remastered 2020)
147;Get Up, Stand Up - Live At The Rainbow Theatre, London / 1977;Live At The Rainbow, 4th June 1977 (Remastered 2020)
148;Exodus - Live At The Rainbow Theatre, London / 1977;Live At The Rainbow, 4th June 1977 (Remastered 2020)
149;Exodus - Exodus 40 Mix;Exodus 40
150;Natural Mystic - Exodus 40 Mix;Exodus 40
151;The Heathen - Exodus 40 Mix;Exodus 40
152;Guiltiness - Exodus 40 Mix;Exodus 40
153;Jamming - Exodus 40 Mix;Exodus 40
154;One Love / People Get Ready - Exodus 40 Mix;Exodus 40
155;Turn Your Lights Down Low - Exodus 40 Mix;Exodus 40
156;Waiting In Vain - Exodus 40 Mix;Exodus 40
157;Three Little Birds - Exodus 40 Mix;Exodus 40
158;So Much Things To Say;Exodus 40
159;Slave Driver - Live At Music Hall, Boston / 1978;Easy Skanking In Boston '78
160;Burnin' & Lootin' - Live At Music Hall, Boston / 1978;Easy Skanking In Boston '78
161;Them Belly Full - Live At Music Hall, Boston / 1978;Easy Skanking In Boston '78
162;The Heathen - Live At Music Hall, Boston / 1978;Easy Skanking In Boston '78
163;Rebel Music - Live At Music Hall, Boston / 1978;Easy Skanking In Boston '78
164;I Shot The Sheriff - Live At Music Hall, Boston / 1978;Easy Skanking In Boston '78
165;Easy Skanking - Live At Music Hall, Boston / 1978;Easy Skanking In Boston '78
166;No Woman No Cry - Live At Music Hall, Boston / 1978;Easy Skanking In Boston '78
167;Lively Up Yourself - Live At Music Hall, Boston / 1978;Easy Skanking In Boston '78
168;Jamming - Live At Music Hall, Boston / 1978;Easy Skanking In Boston '78
169;War / No More Trouble - Live At Music Hall, Boston / 1978;Easy Skanking In Boston '78
170;Get Up Stand Up - Live At Music Hall, Boston / 1978;Easy Skanking In Boston '78
171;Exodus - Live At Music Hall, Boston / 1978;Easy Skanking In Boston '78
172;Waiting In Vain - Jim James Remix;Legend Remixed
173;Stir It Up - Ziggy Marley Remix;Legend Remixed
174;Three Little Birds - Stephen Marley and Jason Bentley Remix;Legend Remixed
175;Could You Be Loved - RAC Remix;Legend Remixed
176;No Woman, No Cry - Stephen Marley Remix;Legend Remixed
177;Get Up, Stand Up - Thievery Corporation Remix;Legend Remixed
178;Satisfy My Soul - Beats Antique Remix;Legend Remixed
179;I Shot The Sheriff - Roni Size Remix;Legend Remixed
180;Exodus - Pretty Lights Remix;Legend Remixed
181;Easy Skanking - Stephen Marley Remix;Legend Remixed
182;One Love / People Get Ready - Photek Remix;Legend Remixed
183;Redemption Song - Ziggy Marley Remix;Legend Remixed
184;Is This Love - Jason Bentley Remix;Legend Remixed
185;Jamming - Nickodemus and Zeb Remix;Legend Remixed
186;Punky Reggae Party - Z-Trip Remix featuring Lee “Scratch” Perry;Legend Remixed
187;Buffalo Soldier - Stephen Marley Remix;Legend Remixed
188;Punky Reggae Party Dub Mix - Z-Trip Remix featuring Lee “Scratch” Perry;Legend Remixed
189;Corner Stone;Marley (The Original Soundtrack)
190;Judge Not;Marley (The Original Soundtrack)
191;Simmer Down;Marley (The Original Soundtrack)
192;Small Axe;Marley (The Original Soundtrack)
193;Mellow Mood;Marley (The Original Soundtrack)
194;Stir It Up;Marley (The Original Soundtrack)
